index,Job_Title,Rating,Company_Name,Year_Founded,Type_of_Ownership,Industry,Sector,Competitors,Revenue_USD_Low,Revenue_USD_High,Number_of_Employees_Low,Number_of_Employees_High,Headquarters_City,Headquarters_State/Country,Location_City,Location_State,Salary_Range_Low_Thousands_of_USD,Salary_Range_High_Thousands_of_USD,Excel_Skills,Python_Skills,Cloud_System_Skills,SQL_Skills,Tableau_Power_BI_Skills,ML_Skills,PhD,Skills_Sum
127,Data Scientist,3.6,XSELL Technologies,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,,51,200,Chicago,IL,Chicago,IL,90,109,0,1,0,1,0,1,1,4
128,Data Engineer,4.2,IZEA,2006,Company - Public,Advertising & Marketing,Business Services,"Linqia, Collective Bias",25,50_000_000,51,200,Winter Park,FL,Winter Park,FL,90,109,1,1,1,1,1,1,0,6
129,Sr. ML/Data Scientist - AI/NLP/Chatbot,3.8,Juniper Networks,1996,Company - Public,Telecommunications Services,Telecommunications,,2,5_000_000_000,5001,10000,Sunnyvale,CA,Cupertino,CA,90,109,1,1,1,0,1,1,1,6
130,Data Scientist,5.0,Notion Labs,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,,1,50,San Francisco,CA,San Francisco,CA,90,109,0,0,0,1,0,1,0,2
131,Senior Data Engineer,4.9,Lendio,2011,Company - Private,Lending,Finance,,50,100_000_000,201,500,Lehi,UT,Lehi,UT,90,109,0,1,1,1,1,1,0,5
132,Data Engineer,4.4,Direct Agents,2003,Company - Private,Advertising & Marketing,Business Services,,25,50_000_000,51,200,New York,NY,Culver City,CA,90,109,1,1,0,1,0,1,0,4
133,Data Scientist,3.3,NAVEX Global,2012,Company - Private,Computer Hardware & Software,Information Technology,,100,500_000_000,1001,5000,Lake Oswego,OR,Lake Oswego,OR,90,109,0,1,0,1,0,1,0,3
134,Machine Learning Engineer,3.2,Triplebyte,2015,Company - Private,Computer Hardware & Software,Information Technology,,,,51,200,San Francisco,CA,Remote,,90,109,0,0,0,0,0,1,0,1
135,Machine Learning Engineer,3.2,Triplebyte,2015,Company - Private,Computer Hardware & Software,Information Technology,,,,51,200,San Francisco,CA,Remote,,90,109,0,0,0,0,0,1,0,1
136,Senior Data Engineer,4.9,Lendio,2011,Company - Private,Lending,Finance,,50,100_000_000,201,500,Lehi,UT,Lehi,UT,90,109,0,1,1,1,1,1,0,5
137,Data Scientist,4.2,Upstart,2012,Company - Private,Lending,Finance,,,,201,500,San Mateo,CA,San Mateo,CA,90,109,0,1,0,0,0,1,1,3
138,Data Analyst,4.5,Envision LLC,1994,Company - Private,Staffing & Outsourcing,Business Services,,25,50_000_000,201,500,Saint Louis,MO,San Francisco,CA,90,109,0,1,0,0,0,1,0,2
139,Data Engineer,4.8,AppLovin,2012,Company - Private,Video Games,Media,,,,201,500,Palo Alto,CA,Palo Alto,CA,90,109,1,0,0,0,0,1,0,2
140,Data Integration and Modeling Engineer,3.8,ISO New England,1997,Nonprofit Organization,Utilities,"Oil, Gas, Energy & Utilities",,,,501,1000,Holyoke,MA,Holyoke,MA,90,109,1,0,0,1,0,1,0,3
141,Tableau Data Engineer 20-0117,3.7,Relativity,2001,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,,1001,5000,Chicago,IL,Chicago,IL,90,109,1,0,0,1,0,1,0,3
142,Senior Data Scientist,3.3,Tempo Automation,2013,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,,5,10_000_000,51,200,San Francisco,CA,San Francisco,CA,90,109,0,1,1,1,1,1,0,5
143,AI Data Scientist,3.3,MITRE,1958,Nonprofit Organization,Federal Agencies,Government,"Battelle, General Atomics, SAIC",1,2_000_000_000,5001,10000,Bedford,MA,Mclean,VA,90,109,0,1,0,0,0,1,0,2
144,Machine Learning Engineer,5.0,"Expedition Technology, Inc.",2013,Company - Private,Aerospace & Defense,Aerospace & Defense,,10,25_000_000,1,50,Dulles,VA,Herndon,VA,90,109,1,1,0,0,0,1,0,3
145,Research Scientist Patient Preferences (Remote),3.8,Evidera,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"IQVIA, ICON",100,500_000_000,501,1000,Bethesda,MD,Bethesda,MD,90,109,1,0,0,0,0,1,0,2
146,Data Scientist,3.4,Plymouth Rock Assurance,1982,Company - Private,Insurance Carriers,Insurance,"Arbella Insurance, Safety Insurance",10,25_000_000,1001,5000,Boston,MA,Woodbridge,NJ,90,109,1,0,0,1,0,1,1,4
147,Scientist - Biomarker and Flow Cytometry,2.4,Crown Bioscience,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,50,100_000_000,501,1000,San Diego,CA,San Diego,CA,90,109,0,0,0,0,0,1,1,2
148,Data Scientist,2.9,GNS Healthcare,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,10,25_000_000,51,200,Cambridge,MA,Cambridge,MA,90,109,0,0,1,1,1,1,0,4
149,Analytics Manager,4.4,OneMagnify,1967,Company - Private,Advertising & Marketing,Business Services,,,,201,500,Detroit,MI,Dearborn,MI,90,109,1,0,0,1,0,1,0,3
150,Data Scientist,2.9,SPECTRUM,2016,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers",Telecommunications,,10_000_000_000,,10000,,Stamford,CT,Maryland Heights,MO,90,109,1,1,0,1,0,1,1,5
151,Staff Scientist- Upstream PD,2.7,Advanced BioScience Laboratories,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,50,100_000_000,201,500,Rockville,MD,Rockville,MD,90,109,0,0,0,0,0,1,0,1
152,Data Engineer,4.2,Procore Technologies,2002,Company - Private,Computer Hardware & Software,Information Technology,,,,1001,5000,Carpinteria,CA,Carpinteria,CA,90,109,1,1,1,1,1,1,0,6
153,Sr Scientist - Extractables & Leachables,3.5,Ritedose,1995,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,100,500_000_000,201,500,Columbia,SC,Columbia,SC,90,109,1,0,0,0,0,1,0,2
154,ELISA RESEARCH SCIENTIST (CV-15),,Covid-19 Search Partners,,,,,,,,,,,,Hauppauge,NY,90,109,0,0,0,0,0,1,0,1
155,Sr Data Scientist,4.2,bioM?©rieux,1963,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,2,5_000_000_000,10000+,10000+,Marcy-L'Etoile,France,Saint Louis,MO,90,109,1,1,0,0,0,1,0,3
156,Data Scientist,4.5,Novetta,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,"Leidos, CACI International, Booz Allen Hamilton",100,500_000_000,501,1000,Mc Lean,VA,Herndon,VA,101,165,1,1,1,0,1,1,0,5
157,Experienced Data Scientist,4.4,Guzman & Griffin Technologies (GGTI),1997,Company - Private,Federal Agencies,Government,,,,1,50,Mays Landing,NJ,Washington,DC,101,165,1,1,0,1,0,1,0,4
158,Machine Learning Engineer,,Radical Convergence,,,,,,,,,,,,Reston,VA,101,165,0,1,0,0,0,1,0,2
159,Data Scientist,3.5,Leidos,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,,10_000_000_000,,10000,,Reston,VA,Fort Meade,MD,101,165,0,0,1,0,1,1,0,3
160,Data Scientist,4.5,Demandbase,2006,Company - Private,Computer Hardware & Software,Information Technology,"Engagio, Bombora, Terminus",100,500_000_000,201,500,San Francisco,CA,San Francisco,CA,101,165,0,1,1,1,1,1,0,5
161,Say Business Data Analyst,4.1,Shelter Insurance,1946,Company - Private,Insurance Carriers,Insurance,,1,2_000_000_000,1001,5000,Columbia,MO,Columbia,MO,101,165,1,1,1,1,1,1,0,6
162,Geospatial Data Scientist,3.5,Maxar Technologies,,Company - Public,Aerospace & Defense,Aerospace & Defense,,2,5_000_000_000,5001,10000,Westminster,CO,Chantilly,VA,101,165,0,0,0,0,0,1,0,1
163,Data Analyst,2.7,USAC,1997,Nonprofit Organization,Telecommunications Services,Telecommunications,,25,50_000_000,501,1000,Washington,DC,Washington,DC,101,165,1,1,0,1,0,1,0,4
164,Computational Scientist,3.4,General Dynamics Information Technology,1996,Subsidiary or Business Segment,IT Services,Information Technology,"SAIC, Leidos, Northrop Grumman",10_000_000_000,,10000,,Fairfax,VA,Vicksburg,MS,101,165,0,0,0,0,0,1,0,1
165,Data Scientist,4.4,Offerpad,2015,Company - Private,Real Estate,Real Estate,,,,201,500,Chandler,AZ,Chandler,AZ,101,165,1,1,0,1,0,1,0,4
166,Senior Data Analyst,4.0,Autodesk,1982,Company - Public,Computer Hardware & Software,Information Technology,,2,5_000_000_000,5001,10000,San Rafael,CA,San Francisco,CA,101,165,0,1,0,1,0,1,0,3
167,Senior Data Analyst,4.2,Autodesk,1968,Company - Public,Research & Development,Business Services,,1,2_000_000_000,5001,10000,Herndon,VA,San Francisco,CA,101,165,0,1,0,1,0,1,0,3
168,Data Engineer,3.5,Magna International Inc.,1957,Company - Public,,,"Bosch, Lear Corporation, Faurecia",10_000_000_000,,10000,,Aurora,Canada,Birmingham,AL,101,165,0,1,1,1,1,1,0,5
169,Sr Data Analyst,2.3,United BioSource,2003,Other Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"Covance, ICON",100,500_000_000,1001,5000,Blue Bell,PA,Blue Bell,PA,101,165,1,0,0,1,0,0,0,2
170,Data Scientist,3.4,Kelly,1946,Company - Public,Staffing & Outsourcing,Business Services,"Adecco, ManpowerGroup, Allegis Corporation",5,10_000_000_000,5001,10000,Troy,MI,Chicago,IL,101,165,1,0,0,0,0,1,0,2
171,"Machine Learning Scientist - Bay Area, CA",3.3,Tempus Labs,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,,,501,1000,Chicago,IL,Redwood City,CA,101,165,0,1,1,1,1,1,1,6
172,Data Scientist,4.7,C3.ai,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,"GE Digital, Palantir Technologies, Uptake",100,500_000_000,201,500,Redwood City,CA,Redwood City,CA,101,165,1,1,0,0,0,1,1,4
173,Senior Data Scientist - Algorithms,3.9,Quartet Health,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,,201,500,New York,NY,New York,NY,101,165,0,1,0,0,0,1,1,3
174,Data Analyst,3.3,Midland Credit Management,1953,Subsidiary or Business Segment,Banks & Credit Unions,Finance,PRA Group,1,2_000_000_000,1001,5000,San Diego,CA,San Diego,CA,101,165,1,1,0,1,0,1,0,4
175,Senior Data & Machine Learning Scientist,3.3,Tempus Labs,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,,,501,1000,Chicago,IL,Chicago,IL,101,165,0,1,1,1,1,1,1,6
176,Data Engineer,4.4,Resurgent Capital Services,1998,Company - Private,Venture Capital & Private Equity,Finance,,50,100_000_000,201,500,Greenville,SC,Cincinnati,OH,101,165,1,1,1,1,1,1,0,6
177,"Data Scientist - Statistics, Early Career",3.7,PNNL,1965,Government,Energy,"Oil, Gas, Energy & Utilities","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",500_000_000,1_000_000_000,1001,5000,Richland,WA,Richland,WA,56,97,1,0,0,0,0,1,1,3
178,Data Scientist,3.5,Buckman,1945,Company - Private,Chemical Manufacturing,Manufacturing,,500_000_000,1_000_000_000,1001,5000,Memphis,TN,Memphis,TN,56,97,0,1,0,1,0,1,1,4
179,Machine Learning Engineer,3.6,Buckman,1967,Nonprofit Organization,Federal Agencies,Government,,50,100_000_000,501,1000,Arlington,VA,Memphis,TN,56,97,0,1,0,0,0,1,0,2
180,Research Scientist - Patient-Centered Research (Remote),3.8,Evidera,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"IQVIA, ICON",100,500_000_000,501,1000,Bethesda,MD,Bethesda,MD,56,97,1,0,0,0,0,1,0,2
181,Jr. Business Data Analyst (position added 6/12/2020),4.7,webfx.com,1997,Company - Private,Advertising & Marketing,Business Services,,25,50_000_000,201,500,Harrisburg,PA,Harrisburg,PA,56,97,1,0,0,0,0,1,0,2
182,Sr. Data Scientist II,3.5,Argo Group US,1948,Company - Public,Insurance Carriers,Insurance,,1,2_000_000_000,1001,5000,Hamilton,Bermuda,New York,NY,56,97,0,1,1,1,1,1,0,5
183,Data Scientist,3.3,BWX Technologies,,Company - Public,Aerospace & Defense,Aerospace & Defense,,500_000_000,1_000_000_000,5001,10000,Lynchburg,VA,Oak Ridge,TN,56,97,0,1,0,0,0,1,0,2
184,Senior Data Analyst,3.9,Life360,2008,Company - Public,Internet,Information Technology,,,,51,200,San Francisco,CA,San Francisco,CA,56,97,0,1,0,1,0,1,0,3
185,Lead Data Scientist,3.7,MassMutual,,Company - Private,Insurance Carriers,Insurance,,10_000_000_000,,10000,,Springfield,MA,Boston,MA,56,97,0,1,1,1,1,1,0,5
186,Production Engineer - Statistics/Data Analysis,3.9,Natera,2004,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"Genomic Health, 23andMe, Illumina",100,500_000_000,501,1000,San Carlos,CA,San Carlos,CA,56,97,1,1,1,0,1,1,0,5
187,Statistical Scientist,4.0,Genentech,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,10_000_000_000,,10000,,South San Francisco,CA,South San Francisco,CA,56,97,1,1,1,0,1,1,0,5
188,Computational Behavioral Scientist,4.2,Ntrepid,2010,Company - Private,IT Services,Information Technology,"Bromium, FireEye, Authentic8",50,100_000_000,201,500,Herndon,VA,Herndon,VA,56,97,0,1,0,1,0,1,0,3
189,Principal Data Scientist - Machine Learning,3.6,Constant Contact,1995,Subsidiary or Business Segment,Advertising & Marketing,Business Services,"Drip, iContact, Mailchimp",,,,,Waltham,MA,Waltham,MA,56,97,1,1,1,0,1,1,1,6
190,Principal Machine Learning Scientist,4.7,Sage Intacct,1999,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,,,,501,1000,San Jose,CA,San Francisco,CA,56,97,0,1,0,1,0,1,1,4
191,Data Engineer,4.1,Shape Security,2011,Company - Private,IT Services,Information Technology,,,,51,200,Mountain View,CA,Santa Clara,CA,56,97,0,1,1,0,1,1,0,4
192,Principal Data Scientist,4.0,AstraZeneca,,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"Roche, GlaxoSmithKline, Novartis",10_000_000_000,,10000,,Cambridge,United Kingdom,Gaithersburg,MD,56,97,1,1,0,0,0,1,1,4
193,Data Scientist,5.0,SkillSoniq,,Company - Public,,,,,,,,Jersey City,NJ,San Francisco,CA,56,97,0,1,0,1,0,1,0,3
194,Senior Data Scientist - R&D Oncology,4.0,AstraZeneca,,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"Roche, GlaxoSmithKline, Novartis",10_000_000_000,,10000,,Cambridge,United Kingdom,New York,NY,56,97,0,1,0,0,0,1,1,3
195,Data Scientist,4.3,Joby Aviation,,Company - Private,,,,,,51,200,Santa Cruz,CA,San Carlos,CA,56,97,1,1,1,1,1,1,0,6
196,"Health Plan Data Analyst, Sr",3.8,Cook Children's Health Care System,,Nonprofit Organization,Health Care Services & Hospitals,Health Care,"Children's Health, Texas Health Resources, Baylor Scott & White Health",100,500_000_000,5001,10000,Fort Worth,TX,Fort Worth,TX,56,97,0,0,0,0,0,1,0,1
197,"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",3.8,Rubius Therapeutics,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,100,500_000_000,201,500,Cambridge,MA,Smithfield,RI,56,97,0,0,0,0,0,1,0,1
198,Analytics - Business Assurance Data Analyst,4.6,GreatAmerica Financial Services,1992,Company - Private,Lending,Finance,,100,500_000_000,501,1000,Cedar Rapids,IA,Cedar Rapids,IA,56,97,1,0,0,1,0,1,0,3
199,Data Scientist - Contract,4.1,Upside Business Travel,2015,Company - Private,Internet,Information Technology,,,,51,200,Washington,DC,Remote,,79,106,0,1,0,0,0,1,0,2
200,Data Scientist,3.4,Spectrum Communications and Consulting,1992,Company - Private,Advertising & Marketing,Business Services,,10,25_000_000,51,200,Chicago,IL,Chicago,IL,79,106,0,0,0,1,0,1,0,2
201,Data Scientist,4.1,Coverent,2008,Company - Private,Consulting,Business Services,,10,25_000_000,51,200,Mclean,VA,Mclean,VA,79,106,1,1,0,0,0,1,0,3
202,Machine Learning Engineer,3.7,Mteq,1954,Company - Public,Aerospace & Defense,Aerospace & Defense,"Harris, Fibertek",100,500_000_000,501,1000,Lorton,VA,Fort Belvoir,VA,79,106,0,1,0,0,0,1,0,2
203,Data Engineer,4.4,Rocket Lawyer,2008,Company - Private,Computer Hardware & Software,Information Technology,,50,100_000_000,51,200,San Francisco,CA,San Francisco,CA,79,106,1,1,0,1,0,1,0,4
204,"Senior Data Scientist â Image Analytics, Novartis AI Innovation Lab",3.9,Novartis,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,10_000_000_000,,10000,,Basel,Switzerland,Cambridge,MA,79,106,0,0,0,0,0,1,0,1
205,Data Engineer,3.6,Alion Science & Technology,2001,Company - Private,Research & Development,Business Services,,1,2_000_000_000,1001,5000,Mc Lean,VA,Linthicum Heights,MD,79,106,1,1,1,1,1,1,0,6
206,Data Science Instructor,4.5,Novetta,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,"Leidos, CACI International, Booz Allen Hamilton",100,500_000_000,501,1000,Mc Lean,VA,Herndon,VA,79,106,1,0,0,0,0,1,0,2
207,Senior Business Intelligence Analyst,3.7,Protolabs,1999,Company - Public,Miscellaneous Manufacturing,Manufacturing,,100,500_000_000,1001,5000,Maple Plain,MN,Maple Plain,MN,79,106,0,0,0,1,0,1,0,2
208,In-Line Inspection Data Analyst,2.9,Quest Integrity,1996,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",,50,100_000_000,201,500,Kent,WA,Tulsa,OK,79,106,1,0,0,0,0,1,0,2
209,Data Scientist - TS/SCI FSP or CI Required,5.0,Phoenix Operations Group,2011,Company - Private,IT Services,Information Technology,,1,5_000_000,1,50,Woodbine,MD,Annapolis Junction,MD,79,106,0,1,0,0,0,1,0,2
210,Data Scientist,3.4,Dice.com,1990,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,"Monster Worldwide, CareerBuilder, Craigslist",100,500_000_000,201,500,Denver,CO,Newton,MA,79,106,1,1,1,1,1,1,0,6
211,Senior Data Scientist,3.5,Maxar Technologies,,Company - Public,Aerospace & Defense,Aerospace & Defense,,2,5_000_000_000,5001,10000,Westminster,CO,Herndon,VA,79,106,1,1,0,1,0,1,0,4
212,Data Scientist - TS/SCI Required,5.0,Phoenix Operations Group,2011,Company - Private,IT Services,Information Technology,,1,5_000_000,1,50,Woodbine,MD,Baltimore,MD,79,106,0,1,0,0,0,1,0,2
213,Data Science Software Engineer,4.8,Klaviyo,2012,Company - Private,Computer Hardware & Software,Information Technology,,,,201,500,Boston,MA,Boston,MA,79,106,0,1,0,0,0,1,0,2
214,ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,3.9,Southwest Research Institute,1947,Nonprofit Organization,Research & Development,Business Services,"Los Alamos National Laboratory, Battelle, SRI International",500_000_000,1_000_000_000,1001,5000,San Antonio,TX,Oklahoma City,OK,79,106,1,1,0,0,0,1,0,3
215,AI Ops Data Scientist,4.0,AstraZeneca,,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"Roche, GlaxoSmithKline, Novartis",10_000_000_000,,10000,,Cambridge,United Kingdom,Gaithersburg,MD,79,106,0,1,1,1,1,1,0,5
216,"Intelligence Data Analyst, Senior",4.3,The Buffalo Group,2010,Company - Private,IT Services,Information Technology,"ManTech, Booz Allen Hamilton, Leidos",100,500_000_000,501,1000,Reston,VA,Fort Belvoir,VA,79,106,0,1,0,0,0,1,0,2
217,Analytics Manager - Data Mart,3.5,Central California Alliance for Health,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,,500_000_000,1_000_000_000,501,1000,Scotts Valley,CA,Scotts Valley,CA,79,106,0,0,0,1,0,1,0,2
218,Data Modeler (Analytical Systems),3.7,MassMutual,,Company - Private,Insurance Carriers,Insurance,,10_000_000_000,,10000,,Springfield,MA,Boston,MA,79,106,1,0,0,1,0,1,0,3
219,"Senior Machine Learning Scientist - Bay Area, CA",3.3,Tempus Labs,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,,,501,1000,Chicago,IL,Redwood City,CA,79,106,0,1,1,1,1,1,1,6
220,Report Writer-Data Analyst,3.1,Security Finance Corporation of Spartanburg,1955,Company - Private,Lending,Finance,,,,1001,5000,Spartanburg,SC,Spartanburg,SC,79,106,0,0,0,1,0,1,0,2
221,Data Scientist/Machine Learning,4.3,PulsePoint,2011,Company - Private,Internet,Information Technology,"Crossix Solutions Inc., AppNexus, The Trade Desk",100,500_000_000,51,200,New York,NY,New York,NY,71,123,0,1,0,0,0,1,1,3
222,Data Scientist - Risk,4.2,LSQ,1996,Company - Private,Investment Banking & Asset Management,Finance,,100,500_000_000,51,200,Orlando,FL,Orlando,FL,71,123,1,1,1,0,1,1,0,5
223,Data Engineer,4.4,Resurgent Capital Services,1998,Company - Private,Venture Capital & Private Equity,Finance,,50,100_000_000,201,500,Greenville,SC,Cincinnati,OH,71,123,1,1,1,1,1,1,0,6
224,Staff Data Scientist - Pricing,3.6,Opendoor,2014,Company - Private,Real Estate,Real Estate,,2,5_000_000_000,501,1000,San Francisco,CA,San Francisco,CA,71,123,0,1,1,1,1,1,0,5
225,Data Scientist,4.5,Global Data Management Inc,2008,Company - Private,IT Services,Information Technology,,5,10_000_000,51,200,Woodbridge,NJ,Hartford,CT,71,123,0,1,0,1,0,1,0,3
226,Data Scientist,3.0,Photon Infotech,1999,Company - Private,IT Services,Information Technology,,100,500_000_000,1001,5000,Chennai,India,Chicago,IL,71,123,1,1,0,1,0,1,0,4
227,Data Scientist,5.0,REE,2018,Company - Private,Transportation Equipment Manufacturing,Manufacturing,,,,51,200,Tel Aviv-Yafo,Israel,United States,,71,123,0,1,0,0,0,1,0,2
228,Machine Learning Engineer,3.6,Riverside Research Institute,1967,Nonprofit Organization,Federal Agencies,Government,,50,100_000_000,501,1000,Arlington,VA,Beavercreek,OH,71,123,0,1,0,0,0,1,0,2
229,Equity Data Insights Analyst - Quantitative Analyst,3.6,T. Rowe Price,1937,Company - Public,Investment Banking & Asset Management,Finance,,2,5_000_000_000,5001,10000,Baltimore,MD,Baltimore,MD,71,123,1,1,0,0,0,1,0,3
230,Data Scientist,,"Encode, Inc.",,Company - Private,IT Services,Information Technology,,5,10_000_000,1,50,Manalapan,NJ,Norfolk,VA,71,123,1,0,1,0,1,1,0,4
231,Research Scientist - Patient-Centered Research (Remote),3.8,Evidera,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"IQVIA, ICON",100,500_000_000,501,1000,Bethesda,MD,Bethesda,MD,71,123,1,0,0,0,0,1,0,2
232,Data Scientist,3.3,BWX Technologies,,Company - Public,Aerospace & Defense,Aerospace & Defense,,500_000_000,1_000_000_000,5001,10000,Lynchburg,VA,Oak Ridge,TN,71,123,0,1,0,0,0,1,0,2
233,Operations Data Analyst,3.8,Brighthouse Financial,2017,Company - Public,Insurance Carriers,Insurance,,,,1001,5000,Charlotte,NC,Charlotte,NC,71,123,0,0,0,0,0,1,0,1
234,Sr. Data Scientist II,3.5,Argo Group US,1948,Company - Public,Insurance Carriers,Insurance,,1,2_000_000_000,1001,5000,Hamilton,Bermuda,New York,NY,71,123,0,1,1,1,1,1,0,5
235,Data Scientist,3.3,II-VI Incorporated,1971,Company - Public,Telecommunications Manufacturing,Telecommunications,"Lumentum Operations, Keysight Technologies, O-Net Technologies",1,2_000_000_000,10000+,10000+,Saxonburg,PA,Champaign,IL,71,123,1,0,0,1,0,1,0,3
236,Data Scientist,4.6,Surya Systems,,Company - Private,Computer Hardware & Software,Information Technology,,1,1_000_000,1,50,Bristol,PA,San Francisco,CA,71,123,0,1,0,1,0,1,0,3
237,Data Scientist,3.8,PayPal,1998,Company - Public,Internet,Information Technology,"Square, Amazon, Apple",10_000_000_000,,10000,,San Jose,CA,Texas,Texas,71,123,1,1,0,0,0,1,1,4
238,Senior Data Analyst,3.9,Life360,2008,Company - Public,Internet,Information Technology,,,,51,200,San Francisco,CA,San Francisco,CA,71,123,0,1,0,1,0,1,0,3
239,Data Scientist,3.9,Predictive Research Inc,,Company - Private,Consulting,Business Services,,,,1,50,Bangalore,India,Plano,TX,71,123,0,1,0,0,0,0,0,1
240,Data Scientist,4.7,Oversight Systems,2003,Company - Private,Computer Hardware & Software,Information Technology,,25,50_000_000,51,200,Atlanta,GA,Atlanta,GA,90,124,1,1,0,1,0,1,0,4
241,Senior Research Statistician- Data Scientist,4.8,Acuity Insurance,,Company - Private,Insurance Carriers,Insurance,,1,2_000_000_000,1001,5000,Sheboygan,WI,Sheboygan,WI,90,124,0,0,0,0,0,1,1,2
242,Software Data Engineer,3.1,1010data,2000,Company - Private,Computer Hardware & Software,Information Technology,,50,100_000_000,201,500,New York,NY,New York,NY,90,124,1,1,1,1,1,1,0,6
243,Data Scientist,3.6,Gigya,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,,10,25_000_000,201,500,Mountain View,CA,Palo Alto,CA,90,124,0,0,0,0,0,1,0,1
244,Real World Evidence (RWE) Scientist,5.0,Genesis Research,2009,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,,,1,50,Hoboken,NJ,Hoboken,NJ,90,124,0,1,0,1,0,1,1,4
245,Data Scientist,3.7,Sanofi,1973,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"Pfizer, GlaxoSmithKline",10_000_000_000,,10000,,Paris,France,Cambridge,MA,90,124,0,1,0,1,0,1,1,4
246,Data Scientist,3.7,XPO Logistics,2011,Company - Public,Transportation Management,Transportation & Logistics,"DHL Supply Chain, UPS, FedEx",10_000_000_000,,10000,,Greenwich,CT,Lebanon,IN,90,124,0,1,0,1,0,1,0,3
247,Data Scientist,3.9,Trace Data,2000,Company - Private,Insurance Carriers,Insurance,,10,25_000_000,51,200,Santa Ana,CA,Oakland,CA,90,124,0,1,0,1,0,1,0,3
248,Data Scientist,4.3,Descript,,Company - Private,,,,1,1_000_000,1,50,Houston,TX,San Francisco,CA,90,124,0,1,0,0,0,1,1,3
249,Computer Scientist 1,4.2,Rincon Research Corporation,1983,Company - Private,Aerospace & Defense,Aerospace & Defense,"Raytheon Technologies, General Dynamics, MIT Lincoln Laboratory",50,100_000_000,201,500,Tucson,AZ,Melbourne,FL,90,124,0,1,0,0,0,1,0,2
250,Lead Data Scientist,3.7,MassMutual,,Company - Private,Insurance Carriers,Insurance,,10_000_000_000,,10000,,Springfield,MA,Boston,MA,90,124,0,1,1,1,1,1,0,5
251,Data Scientist,4.0,Better Hire,,Company - Private,,,,,,1,50,Birmingham,AL,Birmingham,AL,90,124,0,0,0,1,0,0,0,1
252,Data Scientist,3.3,Parker Hannifin,,Company - Public,Industrial Manufacturing,Manufacturing,"Eaton, SMC Corporation, Bosch Rexroth",10_000_000_000,,10000,,Cleveland,OH,Cleveland,OH,90,124,1,1,0,1,0,1,1,5
253,Data Scientist,4.1,Gallup,,Company - Private,Consulting,Business Services,"Advisory Board, Booz Allen Hamilton, McKinsey & Company",,,1001,5000,Washington,DC,New York,NY,90,124,1,1,0,0,0,1,0,3
254,Data Scientist,3.3,Insider Inc,2007,Company - Private,News Outlet,Media,,50,100_000_000,201,500,New York,NY,New York,NY,90,124,1,1,0,0,0,1,0,3
